No	Time[sec]	VOLT[V]	CURR[A]
477	101	0.45	8.27736e-006
478	102	0.45	8.48635e-006
479	102	0.45	8.29783e-006
480	102	0.45	8.55613e-006
481	102	0.45	8.20627e-006
482	102	0.45	8.35125e-006
483	103	0.45	8.39062e-006
484	103	0.45	8.28626e-006
485	103	0.45	8.45994e-006
486	103	0.45	8.32293e-006
487	103	0.45	8.2484e-006
488	104	0.45	8.0661e-006
489	104	0.45	8.03496e-006
490	104	0.45	7.93493e-006
491	104	0.45	8.1816e-006
492	104	0.45	8.27587e-006
493	105	0.45	7.87384e-006
494	105	0.45	8.10733e-006
495	105	0.45	8.13666e-006
496	105	0.45	8.08243e-006
497	105	0.45	7.93624e-006
498	106	0.45	8.12946e-006
499	106	0.45	8.0272e-006
500	106	0.5	9.34651e-006
501	106	0.5	9.29773e-006
502	106	0.5	9.17602e-006
503	107	0.5	9.2623e-006
504	107	0.5	9.39278e-006
505	107	0.5	9.37444e-006
506	107	0.5	9.1891e-006
507	107	0.5	9.27192e-006
508	108	0.5	9.07814e-006
509	108	0.5	9.06314e-006
510	108	0.5	8.97175e-006
511	108	0.5	9.00588e-006
512	109	0.5	8.73157e-006
513	109	0.5	8.81192e-006
514	109	0.5	8.89287e-006
515	109	0.5	8.92338e-006
516	109	0.5	8.96036e-006
517	110	0.5	8.93906e-006
518	110	0.5	8.96343e-006
519	110	0.5	9.01197e-006
520	110	0.5	9.16902e-006
521	110	0.5	8.91474e-006
522	111	0.5	9.63959e-006
523	111	0.5	9.0448e-006
524	111	0.5	9.15248e-006
525	111	0.5	9.00335e-006
526	111	0.5	9.1836e-006
527	112	0.5	9.10269e-006
528	112	0.5	8.99922e-006
529	112	0.5	8.89681e-006
530	112	0.5	8.8414e-006
531	112	0.5	8.8627e-006
532	113	0.5	8.91588e-006
533	113	0.5	8.87836e-006
534	113	0.5	8.77465e-006
535	113	0.5	8.9728e-006
536	113	0.5	9.04713e-006
537	114	0.5	8.84114e-006
538	114	0.5	8.76267e-006
539	114	0.5	8.91813e-006
540	114	0.5	8.8446e-006
541	114	0.5	8.92585e-006
542	115	0.5	8.98831e-006
543	115	0.5	8.91067e-006
544	115	0.5	8.95675e-006
545	115	0.5	8.85846e-006
546	116	0.5	9.06373e-006
547	116	0.5	9.06676e-006
548	116	0.5	9.08876e-006
549	116	0.5	9.11731e-006
550	116	0.55	1.03283e-005
551	117	0.55	1.00892e-005
552	117	0.55	1.03174e-005
553	117	0.55	1.03737e-005
554	117	0.55	1.04563e-005
555	117	0.55	1.03457e-005
556	118	0.55	1.02079e-005
557	118	0.55	1.02606e-005
558	118	0.55	1.01541e-005
559	118	0.55	1.00652e-005
560	118	0.55	1.00856e-005
561	119	0.55	1.01422e-005
562	119	0.55	1.01348e-005
563	119	0.55	1.01611e-005
564	119	0.55	9.93849e-006
565	119	0.55	9.97193e-006
566	120	0.55	1.0066e-005
567	120	0.55	9.99631e-006
568	120	0.55	1.00057e-005
569	120	0.55	9.90533e-006
570	120	0.55	9.79694e-006
571	121	0.55	9.74615e-006
572	121	0.55	9.81653e-006
